city,lat,lng,xxxx,lat,lng,ggg
Charlotte,35.208,-80.8304,xxxx,35.208,-80.8304,ggg
Raleigh,35.8325,-78.6435,xxxx,35.8325,-78.6435,ggg
Durham,35.9794,-78.9031,xxxx,35.9794,-78.9031,ggg
Winston-Salem,36.1029,-80.2611,xxxx,36.1029,-80.2611,ggg
Greensboro,36.0956,-79.8269,xxxx,36.0956,-79.8269,ggg
Fayetteville,35.0846,-78.9776,xxxx,35.0846,-78.9776,ggg
Asheville,35.5704,-82.5536,xxxx,35.5704,-82.5536,ggg
Concord,35.3933,-80.6366,xxxx,35.3933,-80.6366,ggg
Wilmington,34.21,-77.8866,xxxx,34.21,-77.8866,ggg
Hickory,35.7425,-81.323,xxxx,35.7425,-81.323,ggg
Gastonia,35.2494,-81.1853,xxxx,35.2494,-81.1853,ggg
High Point,35.9907,-79.9938,xxxx,35.9907,-79.9938,ggg
Cary,35.782,-78.8191,xxxx,35.782,-78.8191,ggg
Burlington,36.0758,-79.4686,xxxx,36.0758,-79.4686,ggg
Greenville,35.5956,-77.3768,xxxx,35.5956,-77.3768,ggg
Jacksonville,34.7288,-77.3941,xxxx,34.7288,-77.3941,ggg
Chapel Hill,35.927,-79.0391,xxxx,35.927,-79.0391,ggg
Rocky Mount,35.9676,-77.8048,xxxx,35.9676,-77.8048,ggg
Apex,35.7239,-78.8728,xxxx,35.7239,-78.8728,ggg
Huntersville,35.4058,-80.8727,xxxx,35.4058,-80.8727,ggg
Goldsboro,35.3778,-77.972,xxxx,35.3778,-77.972,ggg
New Bern,35.0955,-77.0723,xxxx,35.0955,-77.0723,ggg
Kannapolis,35.4764,-80.6403,xxxx,35.4764,-80.6403,ggg
Morehead City,34.7308,-76.7387,xxxx,34.7308,-76.7387,ggg
Wilson,35.7312,-77.9284,xxxx,35.7312,-77.9284,ggg
Pinehurst,35.1922,-79.4684,xxxx,35.1922,-79.4684,ggg
Wake Forest,35.9629,-78.5141,xxxx,35.9629,-78.5141,ggg
Indian Trail,35.0698,-80.6457,xxxx,35.0698,-80.6457,ggg
Asheboro,35.7158,-79.8129,xxxx,35.7158,-79.8129,ggg
Mooresville,35.5849,-80.8265,xxxx,35.5849,-80.8265,ggg
Holly Springs,35.653,-78.8397,xxxx,35.653,-78.8397,ggg
Monroe,35.0061,-80.5595,xxxx,35.0061,-80.5595,ggg
Sanford,35.4874,-79.1772,xxxx,35.4874,-79.1772,ggg
Salisbury,35.6656,-80.4909,xxxx,35.6656,-80.4909,ggg
Matthews,35.1195,-80.7101,xxxx,35.1195,-80.7101,ggg
Smithfield,35.5131,-78.3497,xxxx,35.5131,-78.3497,ggg
Garner,35.6934,-78.6196,xxxx,35.6934,-78.6196,ggg
